x,y,z,x_dot,y_dot,z_dot,x_dot_dot,y_dot_dot,z_dot_dot
228065.7255365796,-5336479.462712582,3474084.598223801,0.0019314320525154,0.2741501666605473,0.4181680269539356,0.0186118995770812,2.64262780547142,4.030880518257618
228065.7257482953,-5336479.432661188,3474084.644061955,0.0023024331312626,0.3268131986260414,0.4984969273209572,0.01848820829764,2.623768523335457,4.002009518444538
228065.7259969798,-5336479.397362366,3474084.697904144,0.0026708003133535,0.3790990449488163,0.5782493390142918,0.0183572410605847,2.604909241199493,3.973254933953285
228065.7262823678,-5336479.356853763,3474084.759692946,0.0030365190468728,0.4310095682740211,0.6574296858161688,0.0182189978659153,2.586282789707184,3.944733180105686
228065.726604196,-5336479.311172754,3474084.829371349,0.0033996038837358,0.4825475625693798,0.736042158678174,0.01808803062886,2.567656338214874,3.916444256901741
228065.726962203,-5336479.260356449,3474084.906882752,0.0037600984796881,0.5337158218026161,0.8140904828906059,0.0179570633918047,2.549262717366219,3.888271749019623
228065.7273561292,-5336479.204441685,3474084.992170962,0.0041180028347298,0.5845171399414539,0.8915790822356939,0.0178333721123635,2.530869096517563,3.860564902424812
228065.727785717,-5336479.143465039,3474085.085180184,0.0044733169488608,0.6349543109536171,0.9685114491730928,0.0177024048753082,2.512475475668907,3.832858055830002
228065.7282507105,-5336479.077462832,3474085.185855028,0.0048261135816574,0.6850287318229675,1.044891774654388,0.0175787135958671,2.494780346751213,3.805384039878845
228065.7287508558,-5336479.00647111,3474085.2941405,0.0051763636292889,0.734744593501091,1.120724715292454,0.0174477463588118,2.476852387189865,3.778026439249516
228065.7292859006,-5336478.930525676,3474085.409982001,0.0055241107475012,0.7841037586331367,1.196013297885656,0.0173240550793707,2.459157258272171,3.750785253942013
228065.7298555944,-5336478.849662066,3474085.533325321,0.005869340384379,0.8331085555255413,1.270761713385582,0.0172003637999296,2.441462129354477,3.723893314599991
228065.7304596889,-5336478.763915559,3474085.664116643,0.0062121252994984,0.8817617781460285,1.344973919913173,0.0170766725204885,2.423999831080437,3.69735062122345
228065.7310979372,-5336478.673321193,3474085.802302533,0.0065524218371137,0.9300662204623222,1.418653642758727,0.0169529812410473,2.406537532806396,3.670691512525082
228065.7317700941,-5336478.577913742,3474085.947829938,0.006890288204886,0.978024210780859,1.491804840043187,0.0168365659192204,2.389075234532356,3.644381649792194
228065.7324759166,-5336478.477727738,3474086.100646194,0.0072257535066455,1.025637611746788,1.564431237056851,0.0167128746397793,2.372078597545624,3.618304617702961
228065.733215163,-5336478.372797462,3474086.260699008,0.0075587740866467,1.07290968298912,1.636536559090018,0.0165964593179523,2.355081960558891,3.592227585613728
228065.7339875936,-5336478.263156951,3474086.427936463,0.0078894372563809,1.119842752814293,1.70812476426363,0.0164727680385112,2.338318154215813,3.566499799489975
228065.7347929703,-5336478.148839997,3474086.602307017,0.0082176993601024,1.166439149528742,1.779199112206697,0.0163490767590701,2.32132151722908,3.541004844009876
228065.7356310567,-5336478.029880147,3474086.783759494,0.0085436331573873,1.212701201438904,1.849763793870807,0.0162399373948574,2.304557710886002,3.515626303851604
228065.7365016184,-5336477.906310714,3474086.972243089,0.0088672095444053,1.258631236851215,1.919822068884969,0.0161235220730304,2.288259565830231,3.49036417901516
228065.737404422,-5336477.778164765,3474087.16770736,0.0091884721769019,1.3042320497334,1.989377895370126,0.0160071067512035,2.271728590130806,3.465334884822369
228065.7383392364,-5336477.645475131,3474087.370102226,0.0095074356067925,1.349505037069321,2.058434765785933,0.0158906914293766,2.255663275718689,3.440538421273232
228065.739305832,-5336477.508274412,3474087.579377964,0.0098240852821618,1.394453924149275,2.126996172592044,0.0157815520651638,2.239365130662918,3.415741957724094
228065.7403039807,-5336477.366594973,3474087.795485213,0.0101384939625859,1.439080107957125,2.195065608248115,0.0156578607857227,2.223299816250801,3.391178324818611
228065.7413334563,-5336477.220468942,3474088.01837496,0.0104506470961496,1.483386382460594,2.262646565213799,0.0155487214215099,2.207467332482338,3.366847522556782
